10000;10.01.2024;Фенилэфрин;Для органов чувств;9;348;3132
10001;10.01.2024;Бетагистин;Для нервной системы;6;103;618
10002;10.01.2024;Глимепирид;Для ЖКТ;6;199;1194
10003;10.01.2024;Трилактан;Для органов чувств;6;531;3186
10004;10.01.2024;Ксалтан;Для органов чувств;5;786;3930
10005;10.01.2024;Реагила;Для нервной системы;1;3539;3539
10006;10.01.2024;Ренни;Для ЖКТ;7;255;1785
10007;10.01.2024;Белодерм;Дерматологические средства;5;85;425
10008;12.01.2024;Белодерм;Дерматологические средства;3;85;255
10009;12.01.2024;Акридерм;Дерматологические средства;3;784;2352
10010;12.01.2024;Парацетамол;Для нервной системы;4;29;116
10011;12.01.2024;Бетагистин;Для нервной системы;6;103;618
10012;12.01.2024;Винпотропил;Для нервной системы;7;168;1176
10013;15.01.2024;Ксалтан;Для органов чувств;3;786;2358
10014;15.01.2024;Амбробене;Для лечения органов дыхания;4;123;492
10015;15.01.2024;Голдлайн;Для ЖКТ;10;647;6470
10016;15.01.2024;Амбраксол;Для лечения органов дыхания;5;37;185
10017;18.01.2024;Амбраксол;Для лечения органов дыхания;6;37;222
10018;18.01.2024;Бетагистин;Для нервной системы;4;103;412
10019;18.01.2024;Гинкоум;Для нервной системы;10;408;4080
10020;18.01.2024;Голдлайн;Для ЖКТ;8;647;5176
10021;18.01.2024;Перхотал;Дерматологические средства;2;330;660
10022;18.01.2024;Анвимакс;Для лечения органов дыхания;1;186;186
10023;18.01.2024;Фенилэфрин;Для органов чувств;9;348;3132
10024;18.01.2024;Амбраксол;Для лечения органов дыхания;8;37;296
10025;18.01.2024;Горпилс;Для лечения органов дыхания;7;126;882
10026;18.01.2024;Гинкоум;Для нервной системы;2;408;816
10027;20.01.2024;Акридерм;Дерматологические средства;1;784;784
10028;20.01.2024;Тетрациклин;Для органов чувств;10;52;520
10029;20.01.2024;Акридерм;Дерматологические средства;9;784;7056
10030;20.01.2024;Мирамистин;Дерматологические средства;3;312;936
10031;20.01.2024;Белодерм;Дерматологические средства;4;85;340
10032;20.01.2024;Нольпаза;Для ЖКТ;6;158;948
10033;20.01.2024;Трилактан;Для органов чувств;1;531;531
10034;20.01.2024;Трилактан;Для органов чувств;6;531;3186
10035;20.01.2024;Реагила;Для нервной системы;7;3539;24773
10036;20.01.2024;Парацетамол;Для нервной системы;6;29;174
10037;20.01.2024;Кальций-Д3;Для ЖКТ;10;444;4440
10038;20.01.2024;Ринзасип;Для нервной системы;7;257;1799
10039;21.01.2024;Ренни;Для ЖКТ;8;255;2040
10040;22.01.2024;Левомицетин;Для органов чувств;2;122;244
10041;22.01.2024;Анвимакс;Для лечения органов дыхания;2;186;372
10042;22.01.2024;Анвимакс;Для лечения органов дыхания;9;186;1674
10043;22.01.2024;Глимепирид;Для ЖКТ;5;199;995
10044;22.01.2024;Тетрациклин;Для органов чувств;7;52;364
10045;22.01.2024;Гинкоум;Для нервной системы;5;408;2040
10046;22.01.2024;Белодерм;Дерматологические средства;1;85;85
10047;22.01.2024;Анвимакс;Для лечения органов дыхания;2;186;372
10048;22.01.2024;Горпилс;Для лечения органов дыхания;4;126;504
10049;22.01.2024;Амбробене;Для лечения органов дыхания;5;123;615